"Name","PNPClass","Manufacturer","ConfigManagerErrorCode","Status","PNPDeviceID"
,,,"28","Error","ACPI\QCOM0518\E"
,,,"28","Error","ACPI\QCOM05CE\2&DABA3FF&0"
,,,"28","Error","ACPI\QCOM0512\2"
,,,"28","Error","ACPI\QCOM0518\D"
,,,"28","Error","ACPI\QCOM0581\0"
,,,"28","Error","ACPI\QCOM0561\2&DABA3FF&0"
,,,"28","Error","ACPI\QCOM0507\2&DABA3FF&0"
,,,"28","Error","ACPI\QCOM0583\0"
,,,"28","Error","ACPI\QCOM0512\1"
,,,"28","Error","ACPI\QCOM05D2\0"
,,,"0","OK","ACPI\QCOM052E\2&DABA3FF&0"
,,,"28","Error","ACPI\QCOM0593\1"
,,,"28","Error","ACPI\QCOM0593\0"
,,,"28","Error","ACPI\QCOM0530\1"
,,,"28","Error","ACPI\QCOM0512\0"
,,,"0","OK","ACPI\QCOM0519\2&DABA3FF&0"
,,,"28","Error","ACPI\QCOM05CF\2&DABA3FF&0"
,,,"0","OK","ACPI\QCOM050C\1"
,,,"28","Error","ACPI\QCOM055E\64"
,,,"28","Error","ACPI\QCOM050B\0"
,,,"28","Error","ACPI\QCOM0527\0"
,,,"28","Error","ACPI\QCOM0508\2&DABA3FF&0"
,,,"28","Error","ACPI\QCOM050A\10"
,,,"28","Error","ACPI\QCOM0576\0"
,,,"28","Error","ACPI\QCOM05A1\2&DABA3FF&0"
,,,"28","Error","ACPI\QCOM050A\F"
,,,"28","Error","ACPI\QCOM050A\1"
,,,"28","Error","ACPI\QCOM050A\5"
,,,"28","Error","ACPI\VEN_QCOM&DEV_0509&SUBSYS_MTP08250&REV_0002\1"
,,,"0","OK","HTREE\ROOT\0"
,,,"28","Error","ACPI\QCOM050A\D"
,,,"28","Error","ACPI\QCOM050A\E"
,,,"28","Error","ACPI\QCOM050A\6"
,,,"28","Error","ACPI\QCOM050A\7"
,,,"28","Error","ACPI\QCOM0511\8"
,,,"28","Error","ACPI\QCOM0582\2&DABA3FF&0"
,,,"28","Error","ACPI\QCOM055F\2&DABA3FF&0"
,,,"28","Error","ACPI\QCOM05AA\2&DABA3FF&0"
,,,"28","Error","ACPI\QCOM059D\0"
,,,"28","Error","ACPI\QCOM05A8\2&DABA3FF&0"
,,,"28","Error","ACPI\QCOM059E\0"
,,,"28","Error","ACPI\QCOM0533\2&DABA3FF&0"
,,,"28","Error","ACPI\QCOM0550\0"
,,,"28","Error","ACPI\QCOM05AE\0"
,,,"28","Error","ACPI\QCOM056D\0"
,,,"28","Error","ACPI\QCOM05A7\2&DABA3FF&0"
,,,"28","Error","ACPI\VEN_QCOM&DEV_058C&SUBSYS_MTP08250&REV_0002\2&DABA3FF&0"
,,,"28","Error","ACPI\QCOM0511\5"
,,,"28","Error","ACPI\QCOM054C\0"
,,,"28","Error","ACPI\QCOM054E\0"
,,,"28","Error","ACPI\QCOM051B\2&DABA3FF&0"
,,,"28","Error","ACPI\QCOM0518\12"
,,,"28","Error","ACPI\QCOM0518\14"
,,,"28","Error","ACPI\SSDE\2&DABA3FF&0"
,,,"28","Error","ACPI\QCOM055F\1"
,,,"28","Error","ACPI\QCOM057F\2&DABA3FF&0"
,,,"28","Error","ACPI\QCOM0593\2"
,,,"28","Error","ACPI\QCOM0511\A"
,,,"28","Error","ACPI\FSA04480\2&DABA3FF&0"
,,,"28","Error","ACPI\QCOM055D\1"
,,,"28","Error","ACPI\QCOM0535\1B"
,,,"28","Error","ACPI\QCOM059B\1"
,,,"28","Error","ACPI\QCOM059B\0"
,,,"28","Error","ACPI\QCOM0577\2&DABA3FF&0"
,,,"28","Error","ACPI\QCOM055C\1"
,,,"28","Error","ACPI\QCOM055D\0"
,,,"28","Error","ACPI\QCOM055A\0"
,,,"28","Error","ACPI\QCOM055C\0"
"ACPI ARM64-based PC","Computer","(标准计算机)","0","OK","ROOT\ARM64_HAL\0000"
"Xiaomi Redmi K40","Computer","Microsoft","0","OK","SWD\COMPUTER\MFG_XIAOMI&FAM_SM8250&PROD_REDMI_K40&SKU_M2012K11AC"
"MICRON MT256GARAT4U31","DiskDrive","(标准磁盘驱动器)","0","OK","SCSI\DISK&VEN_MICRON&PROD_MT256GARAT4U31\3&F4F72E8&0&000004"
"MICRON MT256GARAT4U31","DiskDrive","(标准磁盘驱动器)","0","OK","SCSI\DISK&VEN_MICRON&PROD_MT256GARAT4U31\3&F4F72E8&0&000005"
"MICRON MT256GARAT4U31","DiskDrive","(标准磁盘驱动器)","0","OK","SCSI\DISK&VEN_MICRON&PROD_MT256GARAT4U31\3&F4F72E8&0&000003"
"MICRON MT256GARAT4U31","DiskDrive","(标准磁盘驱动器)","0","OK","SCSI\DISK&VEN_MICRON&PROD_MT256GARAT4U31\3&F4F72E8&0&000001"
"MICRON MT256GARAT4U31","DiskDrive","(标准磁盘驱动器)","0","OK","SCSI\DISK&VEN_MICRON&PROD_MT256GARAT4U31\3&F4F72E8&0&000002"
"MICRON MT256GARAT4U31","DiskDrive","(标准磁盘驱动器)","0","OK","SCSI\DISK&VEN_MICRON&PROD_MT256GARAT4U31\3&F4F72E8&0&000000"
"HID Button over Interrupt Driver","HIDClass","Microsoft","51","Error","ACPI\ACPI0011\0"
"USB 输入设备","HIDClass","(标准系统设备)","0","OK","USB\VID_413C&PID_301A\6&D34932&0&1"
"USB 输入设备","HIDClass","(标准系统设备)","0","OK","USB\VID_413C&PID_2113&MI_01\7&27D91035&0&0001"
"USB 输入设备","HIDClass","(标准系统设备)","0","OK","USB\VID_413C&PID_2113&MI_00\7&27D91035&0&0000"
"符合 HID 标准的系统控制器","HIDClass","(标准系统设备)","0","OK","HID\VID_413C&PID_2113&MI_01&COL01\8&10A581F0&0&0000"
"符合 HID 标准的用户控制设备","HIDClass","Microsoft","0","OK","HID\VID_413C&PID_2113&MI_01&COL02\8&10A581F0&0&0001"
"HID Keyboard Device","Keyboard","(标准键盘)","0","OK","HID\VID_413C&PID_2113&MI_00\8&347CBFB2&0&0000"
"Generic Monitor","Monitor","(标准监视器类型)","0","OK","DISPLAY\DEFAULT_MONITOR\1&8713BCA&0&UID0"
"HID-compliant mouse","Mouse","Microsoft","0","OK","HID\VID_413C&PID_301A\7&303D5571&0&0000"
"ASIX AX88179 USB 3.0 to Gigabit Ethernet Adapter","Net","ASIX","0","OK","USB\VID_0B95&PID_1790\1000000000011D"
"Microsoft Kernel Debug Network Adapter","Net","Microsoft","0","OK","ROOT\KDNIC\0000"
"WAN Miniport (IKEv2)","Net","Microsoft","0","OK","SWD\MSRRAS\MS_AGILEVPNMINIPORT"
"WAN Miniport (IP)","Net","Microsoft","0","OK","SWD\MSRRAS\MS_NDISWANIP"
"WAN Miniport (IPv6)","Net","Microsoft","0","OK","SWD\MSRRAS\MS_NDISWANIPV6"
"WAN Miniport (L2TP)","Net","Microsoft","0","OK","SWD\MSRRAS\MS_L2TPMINIPORT"
"WAN Miniport (Network Monitor)","Net","Microsoft","0","OK","SWD\MSRRAS\MS_NDISWANBH"
"WAN Miniport (PPPOE)","Net","Microsoft","0","OK","SWD\MSRRAS\MS_PPPOEMINIPORT"
"WAN Miniport (PPTP)","Net","Microsoft","0","OK","SWD\MSRRAS\MS_PPTPMINIPORT"
"WAN Miniport (SSTP)","Net","Microsoft","0","OK","SWD\MSRRAS\MS_SSTPMINIPORT"
"根打印队列","PrintQueue","Microsoft","0","OK","SWD\PRINTENUM\PRINTQUEUES"
"Snapdragon (TM) 870 @ 3.19 GHz","Processor","(标准处理器类型)","0","OK","ACPI\QUALCOMM_TECHNOLOGIES__INC._-_ARMV8_(64-BIT)_FAMILY_8_MODEL_805_REVISION_D0E\1"
"Snapdragon (TM) 870 @ 3.19 GHz","Processor","(标准处理器类型)","0","OK","ACPI\QUALCOMM_TECHNOLOGIES__INC._-_ARMV8_(64-BIT)_FAMILY_8_MODEL_805_REVISION_D0E\0"
"Snapdragon (TM) 870 @ 3.19 GHz","Processor","(标准处理器类型)","0","OK","ACPI\QUALCOMM_TECHNOLOGIES__INC._-_ARMV8_(64-BIT)_FAMILY_8_MODEL_805_REVISION_D0E\2"
"Snapdragon (TM) 870 @ 3.19 GHz","Processor","(标准处理器类型)","0","OK","ACPI\QUALCOMM_TECHNOLOGIES__INC._-_ARMV8_(64-BIT)_FAMILY_8_MODEL_805_REVISION_D0E\4"
"Snapdragon (TM) 870 @ 3.19 GHz","Processor","(标准处理器类型)","0","OK","ACPI\QUALCOMM_TECHNOLOGIES__INC._-_ARMV8_(64-BIT)_FAMILY_8_MODEL_805_REVISION_D0E\6"
"Snapdragon (TM) 870 @ 3.19 GHz","Processor","(标准处理器类型)","0","OK","ACPI\QUALCOMM_TECHNOLOGIES__INC._-_ARMV8_(64-BIT)_FAMILY_8_MODEL_805_REVISION_D0E\5"
"Snapdragon (TM) 870 @ 3.19 GHz","Processor","(标准处理器类型)","0","OK","ACPI\QUALCOMM_TECHNOLOGIES__INC._-_ARMV8_(64-BIT)_FAMILY_8_MODEL_805_REVISION_D0E\3"
"Snapdragon (TM) 870 @ 3.19 GHz","Processor","(标准处理器类型)","0","OK","ACPI\QUALCOMM_TECHNOLOGIES__INC._-_ARMV8_(64-BIT)_FAMILY_8_MODEL_805_REVISION_D0E\7"
"Microsoft 存储空间控制器","SCSIAdapter","Microsoft","0","OK","ROOT\SPACEPORT\0000"
"Qualcomm 通用闪存(UFS)主控制器","SCSIAdapter","Qualcomm","0","OK","ACPI\QCOM24A5\0"
"Microsoft GS 波表合成器","SoftwareDevice","Microsoft","0","OK","SWD\MMDEVAPI\MICROSOFTGSWAVETABLESYNTH"
"Microsoft Radio Device Enumeration Bus","SoftwareDevice","Microsoft","0","OK","SWD\RADIO\{3DB5895D-CC28-44B3-AD3D-6F01A782B8D2}"
"Microsoft RRAS Root Enumerator","SoftwareDevice","Microsoft","0","OK","SWD\MSRRAS\{5E259276-BC7E-40E3-B93B-8F89B5F3ABC0}"
"ACPI 处理器聚合器","System","(标准系统设备)","0","OK","ACPI\ACPI000C\2&DABA3FF&0"
"ACPI 处理器容器设备","System","(标准系统设备)","0","OK","ACPI\ACPI0010\10"
"ACPI 处理器容器设备","System","(标准系统设备)","0","OK","ACPI\ACPI0010\100000"
"Microsoft ACPI-Compliant System","System","Microsoft","0","OK","ACPI_HAL\PNP0C08\0"
"Microsoft Hyper-V 虚拟化基础结构驱动程序","System","Microsoft","0","OK","ROOT\VID\0000"
"Microsoft System Management BIOS Driver","System","(标准系统设备)","0","OK","ROOT\MSSMBIOS\0000"
"Microsoft 基本呈现驱动程序","System","Microsoft","0","OK","ROOT\BASICRENDER\0000"
"Microsoft 基本显示驱动程序","System","(标准显示器类型)","0","OK","ROOT\BASICDISPLAY\0000"
"Microsoft 虚拟驱动器枚举器","System","Microsoft","0","OK","ROOT\VDRVROOT\0000"
"NDIS 虚拟网络适配器枚举器","System","Microsoft","0","OK","ROOT\NDISVIRTUALBUS\0000"
"Qualcomm（R） System Manager GPIO 设备","System","Qualcomm Inc.","0","OK","ACPI\QCOM050D\0"
"Qualcomm（R） 电源管理","System","Qualcomm Inc.","0","OK","ACPI\QCOM05A2\0"
"UMBus Root Bus Enumerator","System","Microsoft","0","OK","ROOT\UMBUS\0000"
"复合总线枚举器","System","Microsoft","0","OK","ROOT\COMPOSITEBUS\0000"
"即插即用软件设备枚举器","System","(标准系统设备)","0","OK","ROOT\SYSTEM\0000"
"卷管理器","System","Microsoft","0","OK","ROOT\VOLMGR\0000"
"远程桌面设备重定向程序总线","System","Microsoft","0","OK","ROOT\RDPBUS\0000"
"Synopsys USB 3.0 双重角色控制器","USB","Synopsys","0","OK","ACPI\QCOM0597\0"
"USB Composite Device","USB","(标准 USB 主控制器)","0","OK","USB\VID_413C&PID_2113\6&D34932&0&2"
"USB 根集线器(USB 3.0)","USB","(标准 USB 集线器)","0","OK","USB\ROOT_HUB30\4&39CC6B5E&0&0"
"符合 USB xHCI 的主机控制器","USB","通用 USB xHCI 主机控制器","0","OK","URS\VEN_QCOM&DEV_0597&SUBSYS_MTP08250&HOST\3&4281CF3&0&0"
"通用 USB 集线器","USB","(标准 USB 集线器)","0","OK","USB\VID_05E3&PID_0610\5&879A669&0&1"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#0000000056BB6000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB5-CDDB-11EC-B415-806E6F6E6963}#0000000000020000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#0000000000E86000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEAF-CDDB-11EC-B415-806E6F6E6963}#0000000000100000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEAF-CDDB-11EC-B415-806E6F6E6963}#000000007E000000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#000000007A476000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB5-CDDB-11EC-B415-806E6F6E6963}#0000000000240000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#0000000031B16000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEAF-CDDB-11EC-B415-806E6F6E6963}#0000000000040000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#00000000695B6000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#000000001CF86000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB9-CDDB-11EC-B415-806E6F6E6963}#0000000001700000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB3-CDDB-11EC-B415-806E6F6E6963}#0000000000806000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEAF-CDDB-11EC-B415-806E6F6E6963}#0000000004100000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB9-CDDB-11EC-B415-806E6F6E6963}#0000000000006000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#0000000077246000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEAF-CDDB-11EC-B415-806E6F6E6963}#0000000000180000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEAF-CDDB-11EC-B415-806E6F6E6963}#000000001E000000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#000000001D386000"
